Height Weight Length
11.36 2.83 7.91
15.48 0.1 11.9
13.55 8.68 7.13
10.97 1.93 7.33
14.46 NA 8.98
10.31 3.47 9.19
11.87 5.84 10.86
9.56 4.48 11.85
10.93 4.64 15.8
13.39 2.68 12.55
11 2.45 8.13
11.78 -1.76 5.34
8.73 2.11 8.89
11.45 6.63 7.92
6.58 1.47 9.12
9.71 -2.16 13.38
9.23 0.66 13.08
15.23 1.44 11.72
13.14 1.88 12.22
11.9 7.41 15.07
10.94 5.19 11.71
14.14 1.9 6.81
12.22 1.42 12.84
9.56 5.74 4.83
6.02 4.59 7.64
10.13 4.22 11.36
11.47 3.86 4.32
11.58 5.41 12.04
12.78 0.42 11.32
9.37 4.04 13.6
15.52 0.15 5.93
15.38 0.32 9.02
10.32 -1.39 9.47
13.11 1.66 5.11
11.36 6.6 12.66
15.18 8.45 13.81
9.03 7.39 12.09
10.33 2.69 7.68
7.67 5.4 16.48
15.99 -0.23 6.07
7.12 0.04 5.3
9.93 7.17 10.05
16.37 5.59 11.24
10.75 2.56 9.29
7.63 -0.79 11.34
11.4 4.1 9.5
14.41 3.6 4.6
11.71 5.13 13.66
6.63 8.52 9.37
11.14 3 13.1
9.64 4.06 9.41
13.22 2.54 10.68
12.02 2.12 16
5.88 7.61 6.05
11.52 5.33 8.41
9.28 5.71 10.54
11.1 3.31 13.17
9.79 2.29 13.53
13.1 4.57 2.58
9.46 8.75 10.1
7.59 5.46 5.45
12.25 4.32 3.9
16.03 5.06 2.03
13.57 3.35 13.58
9.71 3.35 8.65
8.8 0.3 4.26
11.66 8.12 13.01
13.69 2.62 13.89
13.19 6.81 11.76
13.43 9.35 11.04
14.48 -1.38 8.13
10.14 5.58 10.24
8.92 6.32 10.73
11.3 -0.84 13.67
7.54 1.25 7.98
11.53 -1.79 3.92
10.69 5.95 7.81
7.44 2.92 12.16
12.33 7.04 8.7
10.58 4.92 8.58
14.5 0.74 12.67
9.74 -0.18 5.67
11.48 9.42 14.08
14.57 2.13 12.3
7.23 2.24 3.77
12.32 1.7 12.42
13.31 3.3 10.31
8.33 5.36 12.25
13.67 1.32 6.65
13.4 2.02 7.88
15.26 5.83 9.4
11.83 0.03 13.39
7.06 3.31 10.39
14.17 5.29 7.37
12.26 9.89 12.85
12.25 6.53 10.02
15.38 4.34 9.48
8.32 2.82 16.54
12.13 2.52 4.05
15.84 2.71 11.81
